# Energy_meV Original Background Corrected FinalWeight
-7.444201854462947665e+01 1.003613124105604612e-05 nan nan nan
-7.352298127864639810e+01 1.151573941724869466e-05 nan nan nan
-7.260394401266330533e+01 1.301647263056120236e-05 nan nan nan
-7.168490674668022677e+01 1.589431895569580607e-05 nan nan nan
-7.076586948069714822e+01 2.003197521677709566e-05 nan nan nan
-6.984683221471408388e+01 2.568342140329040721e-05 nan nan nan
-6.892779494873099111e+01 3.373858395166968787e-05 nan nan nan
-6.800875768274791255e+01 4.250369608050070353e-05 nan nan nan
-6.708972041676483400e+01 5.228780724987372691e-05 nan nan nan
-6.617068315078175544e+01 6.166212536179962913e-05 nan nan nan
-6.525164588479867689e+01 6.679841153484422710e-05 nan nan nan
-6.433260861881559833e+01 6.940542476522953107e-05 nan nan nan
-6.341357135283251267e+01 6.721619113428158054e-05 nan nan nan
-6.249453408684943412e+01 6.509776336006994251e-05 nan nan nan
-6.157549682086634846e+01 6.184990754158304564e-05 nan nan nan
-6.065645955488326990e+01 6.177326866064396325e-05 nan nan nan
-5.973742228890019135e+01 6.516980811235909248e-05 nan nan nan
-5.881838502291711279e+01 7.117652512695819096e-05 nan nan nan
-5.789934775693403424e+01 7.503099438619607051e-05 nan nan nan
-5.698031049095094858e+01 7.240883800312251678e-05 nan nan nan
-5.606127322496787713e+01 7.270424145972928672e-05 nan nan nan
-5.514223595898479147e+01 7.786777885784337795e-05 nan nan nan
-5.422319869300171291e+01 8.651502882086994689e-05 nan nan nan
-5.330416142701862725e+01 9.119931868325276603e-05 nan nan nan
-5.238512416103555580e+01 9.072033488159063699e-05 nan nan nan
-5.146608689505247014e+01 8.582049075991599692e-05 nan nan nan
-5.054704962906939159e+01 8.872467324564885910e-05 nan nan nan
-4.962801236308631303e+01 1.009895729667257191e-04 nan nan nan
-4.870897509710323448e+01 1.220433055776485768e-04 nan nan nan
-4.778993783112015592e+01 1.417086255496345453e-04 nan nan nan
-4.687090056513707026e+01 1.434682736598187668e-04 nan nan nan
-4.595186329915399170e+01 1.446661321856906434e-04 nan nan nan
-4.503282603317091315e+01 1.395529439561794794e-04 nan nan nan
-4.411378876718783459e+01 1.354134179326908142e-04 nan nan nan
-4.319475150120475604e+01 1.376662015609991395e-04 nan nan nan
-4.227571423522167038e+01 1.466330949397153134e-04 nan nan nan
-4.135667696923859893e+01 1.645379158498771924e-04 nan nan nan
